"Codi";"Sigles";"Vots";"percent"
"43001";"Sí - Sí";"346";"90,81"
"43001";"Sí - No";"9";"2,36"
"43001";"Sí - En blanc";"0";",00"
"43001";"No";"3";",79"
"43001";"En blanc";"8";"2,10"
"43001";"Altres";"15";"3,94"
"43005";"Sí - Sí";"1578";"85,48"
"43005";"Sí - No";"114";"6,18"
"43005";"Sí - En blanc";"33";"1,79"
"43005";"No";"34";"1,84"
"43005";"En blanc";"14";",76"
"43005";"Altres";"73";"3,95"
"43010";"Sí - Sí";"193";"88,13"
"43010";"Sí - No";"7";"3,20"
"43010";"Sí - En blanc";"1";",46"
"43010";"No";"11";"5,02"
"43010";"En blanc";"2";",91"
"43010";"Altres";"5";"2,28"
"43034";"Sí - Sí";"276";"85,98"
"43034";"Sí - No";"12";"3,74"
"43034";"Sí - En blanc";"2";",62"
"43034";"No";"13";"4,05"
"43034";"En blanc";"4";"1,25"
"43034";"Altres";"14";"4,36"
"43036";"Sí - Sí";"303";"92,94"
"43036";"Sí - No";"10";"3,07"
"43036";"Sí - En blanc";"0";",00"
"43036";"No";"5";"1,53"
"43036";"En blanc";"1";",31"
"43036";"Altres";"7";"2,15"
"43059";"Sí - Sí";"180";"90,45"
"43059";"Sí - No";"8";"4,02"
"43059";"Sí - En blanc";"3";"1,51"
"43059";"No";"4";"2,01"
"43059";"En blanc";"0";",00"
"43059";"Altres";"4";"2,01"
"43066";"Sí - Sí";"75";"82,42"
"43066";"Sí - No";"5";"5,49"
"43066";"Sí - En blanc";"0";",00"
"43066";"No";"11";"12,09"
"43066";"En blanc";"0";",00"
"43066";"Altres";"0";",00"
"43080";"Sí - Sí";"150";"88,24"
"43080";"Sí - No";"13";"7,65"
"43080";"Sí - En blanc";"1";",59"
"43080";"No";"4";"2,35"
"43080";"En blanc";"0";",00"
"43080";"Altres";"2";"1,18"
"43083";"Sí - Sí";"58";"79,45"
"43083";"Sí - No";"7";"9,59"
"43083";"Sí - En blanc";"0";",00"
"43083";"No";"3";"4,11"
"43083";"En blanc";"2";"2,74"
"43083";"Altres";"3";"4,11"
"43089";"Sí - Sí";"103";"88,03"
"43089";"Sí - No";"3";"2,56"
"43089";"Sí - En blanc";"0";",00"
"43089";"No";"9";"7,69"
"43089";"En blanc";"2";"1,71"
"43089";"Altres";"0";",00"
"43091";"Sí - Sí";"52";"85,25"
"43091";"Sí - No";"7";"11,48"
"43091";"Sí - En blanc";"0";",00"
"43091";"No";"1";"1,64"
"43091";"En blanc";"0";",00"
"43091";"Altres";"1";"1,64"
"43098";"Sí - Sí";"194";"91,94"
"43098";"Sí - No";"6";"2,84"
"43098";"Sí - En blanc";"2";",95"
"43098";"No";"7";"3,32"
"43098";"En blanc";"1";",47"
"43098";"Altres";"1";",47"
"43108";"Sí - Sí";"913";"90,31"
"43108";"Sí - No";"31";"3,07"
"43108";"Sí - En blanc";"5";",49"
"43108";"No";"27";"2,67"
"43108";"En blanc";"8";",79"
"43108";"Altres";"27";"2,67"
"43113";"Sí - Sí";"249";"87,06"
"43113";"Sí - No";"15";"5,24"
"43113";"Sí - En blanc";"4";"1,40"
"43113";"No";"5";"1,75"
"43113";"En blanc";"0";",00"
"43113";"Altres";"13";"4,55"
"43119";"Sí - Sí";"295";"83,57"
"43119";"Sí - No";"29";"8,22"
"43119";"Sí - En blanc";"2";",57"
"43119";"No";"20";"5,67"
"43119";"En blanc";"4";"1,13"
"43119";"Altres";"3";",85"
"43120";"Sí - Sí";"100";"86,21"
"43120";"Sí - No";"4";"3,45"
"43120";"Sí - En blanc";"1";",86"
"43120";"No";"3";"2,59"
"43120";"En blanc";"0";",00"
"43120";"Altres";"8";"6,90"
"43124";"Sí - Sí";"266";"80,12"
"43124";"Sí - No";"19";"5,72"
"43124";"Sí - En blanc";"3";",90"
"43124";"No";"11";"3,31"
"43124";"En blanc";"8";"2,41"
"43124";"Altres";"25";"7,53"
"43132";"Sí - Sí";"223";"89,56"
"43132";"Sí - No";"10";"4,02"
"43132";"Sí - En blanc";"1";",40"
"43132";"No";"4";"1,61"
"43132";"En blanc";"2";",80"
"43132";"Altres";"9";"3,61"
"43134";"Sí - Sí";"136";"77,71"
"43134";"Sí - No";"14";"8,00"
"43134";"Sí - En blanc";"3";"1,71"
"43134";"No";"16";"9,14"
"43134";"En blanc";"4";"2,29"
"43134";"Altres";"2";"1,14"
"43160";"Sí - Sí";"426";"81,92"
"43160";"Sí - No";"33";"6,35"
"43160";"Sí - En blanc";"6";"1,15"
"43160";"No";"30";"5,77"
"43160";"En blanc";"2";",38"
"43160";"Altres";"23";"4,42"
"43161";"Sí - Sí";"7976";"87,47"
