"Codi Comarca";"Sigles";"Vots";"percent"
"1";"Sí - Sí";"14746";"87,49"
"1";"Sí - No";"827";"4,91"
"1";"Sí - En blanc";"157";",93"
"1";"No";"508";"3,01"
"1";"En blanc";"115";",68"
"1";"Altres";"501";"2,97"
"2";"Sí - Sí";"31882";"85,59"
"2";"Sí - No";"2081";"5,59"
"2";"Sí - En blanc";"478";"1,28"
"2";"No";"1341";"3,60"
"2";"En blanc";"229";",61"
"2";"Altres";"1240";"3,33"
"3";"Sí - Sí";"36648";"86,16"
"3";"Sí - No";"2846";"6,69"
"3";"Sí - En blanc";"412";",97"
"3";"No";"1227";"2,88"
"3";"En blanc";"219";",51"
"3";"Altres";"1183";"2,78"
"4";"Sí - Sí";"6799";"86,07"
"4";"Sí - No";"484";"6,13"
"4";"Sí - En blanc";"114";"1,44"
"4";"No";"203";"2,57"
"4";"En blanc";"77";",97"
"4";"Altres";"222";"2,81"
"5";"Sí - Sí";"493";"84,71"
"5";"Sí - No";"46";"7,90"
"5";"Sí - En blanc";"7";"1,20"
"5";"No";"22";"3,78"
"5";"En blanc";"5";",86"
"5";"Altres";"9";"1,55"
"6";"Sí - Sí";"31725";"82,71"
"6";"Sí - No";"2938";"7,66"
"6";"Sí - En blanc";"426";"1,11"
"6";"No";"1664";"4,34"
"6";"En blanc";"178";",46"
"6";"Altres";"1426";"3,72"
"7";"Sí - Sí";"62319";"86,40"
"7";"Sí - No";"4548";"6,31"
"7";"Sí - En blanc";"698";",97"
"7";"No";"2455";"3,40"
"7";"En blanc";"457";",63"
"7";"Altres";"1648";"2,28"
"8";"Sí - Sí";"44278";"83,01"
"8";"Sí - No";"4036";"7,57"
"8";"Sí - En blanc";"577";"1,08"
"8";"No";"2454";"4,60"
"8";"En blanc";"307";",58"
"8";"Altres";"1689";"3,17"
"9";"Sí - Sí";"21789";"85,95"
"9";"Sí - No";"1510";"5,96"
"9";"Sí - En blanc";"286";"1,13"
"9";"No";"873";"3,44"
"9";"En blanc";"201";",79"
"9";"Altres";"693";"2,73"
"10";"Sí - Sí";"38093";"87,05"
"10";"Sí - No";"2384";"5,45"
"10";"Sí - En blanc";"477";"1,09"
"10";"No";"1278";"2,92"
"10";"En blanc";"240";",55"
"10";"Altres";"1289";"2,95"
"11";"Sí - Sí";"135018";"72,14"
"11";"Sí - No";"28688";"15,33"
"11";"Sí - En blanc";"1719";",92"
"11";"No";"14134";"7,55"
"11";"En blanc";"890";",48"
"11";"Altres";"6716";"3,59"
"12";"Sí - Sí";"17753";"80,25"
"12";"Sí - No";"1977";"8,94"
"12";"Sí - En blanc";"225";"1,02"
"12";"No";"1240";"5,61"
"12";"En blanc";"114";",52"
"12";"Altres";"812";"3,67"
"13";"Sí - Sí";"470290";"76,69"
"13";"Sí - No";"82548";"13,46"
"13";"Sí - En blanc";"5845";",95"
"13";"No";"31669";"5,16"
"13";"En blanc";"3391";",55"
"13";"Altres";"19526";"3,18"
"14";"Sí - Sí";"17565";"91,91"
"14";"Sí - No";"571";"2,99"
"14";"Sí - En blanc";"122";",64"
"14";"No";"266";"1,39"
"14";"En blanc";"141";",74"
"14";"Altres";"446";"2,33"
"15";"Sí - Sí";"5376";"85,18"
"15";"Sí - No";"386";"6,12"
"15";"Sí - En blanc";"74";"1,17"
"15";"No";"190";"3,01"
"15";"En blanc";"55";",87"
"15";"Altres";"230";"3,64"
"16";"Sí - Sí";"9030";"89,49"
"16";"Sí - No";"388";"3,85"
"16";"Sí - En blanc";"99";",98"
"16";"No";"197";"1,95"
"16";"En blanc";"70";",69"
"16";"Altres";"306";"3,03"
"17";"Sí - Sí";"32730";"80,12"
"17";"Sí - No";"4268";"10,45"
"17";"Sí - En blanc";"400";",98"
"17";"No";"1935";"4,74"
"17";"En blanc";"186";",46"
"17";"Altres";"1331";"3,26"
"18";"Sí - Sí";"8392";"89,63"
"18";"Sí - No";"389";"4,15"
"18";"Sí - En blanc";"148";"1,58"
"18";"No";"170";"1,82"
"18";"En blanc";"77";",82"
"18";"Altres";"187";"2,00"
"19";"Sí - Sí";"22179";"91,46"
"19";"Sí - No";"751";"3,10"
"19";"Sí - En blanc";"224";",92"
"19";"No";"361";"1,49"
"19";"En blanc";"156";",64"
"19";"Altres";"580";"2,39"
"20";"Sí - Sí";"58015";"88,41"
"20";"Sí - No";"3583";"5,46"
"20";"Sí - En blanc";"505";",77"
"20";"No";"1629";"2,48"
"20";"En blanc";"333";",51"
"20";"Altres";"1552";"2,37"
"21";"Sí - Sí";"121485";"83,50"
"21";"Sí - No";"13093";"9,00"
"21";"Sí - En blanc";"1280";",88"
"21";"No";"4902";"3,37"
"21";"En blanc";"715";",49"
"21";"Altres";"4015";"2,76"
"22";"Sí - Sí";"18095";"84,11"
"22";"Sí - No";"1362";"6,33"
"22";"Sí - En blanc";"310";"1,44"
"22";"No";"843";"3,92"
"22";"En blanc";"156";",73"
"22";"Altres";"748";"3,48"
"23";"Sí - Sí";"14511";"88,34"
"23";"Sí - No";"758";"4,61"
"23";"Sí - En blanc";"233";"1,42"
"23";"No";"398";"2,42"
"23";"En blanc";"169";"1,03"
"23";"Altres";"358";"2,18"
"24";"Sí - Sí";"66937";"91,90"
"24";"Sí - No";"2580";"3,54"
"24";"Sí - En blanc";"531";",73"
"24";"No";"1067";"1,46"
"24";"En blanc";"435";",60"
"24";"Altres";"1288";"1,77"
"25";"Sí - Sí";"3548";"88,92"
"25";"Sí - No";"181";"4,54"
