"Codi";"Sigles";"Vots";"percent"
"1";"Sí - Sí";"15012";"87,35"
"1";"Sí - No";"846";"4,92"
"1";"Sí - En blanc";"160";",93"
"1";"No";"519";"3,02"
"1";"En blanc";"123";",72"
"1";"Altres";"526";"3,06"
"2";"Sí - Sí";"36131";"85,74"
"2";"Sí - No";"2349";"5,57"
"2";"Sí - En blanc";"537";"1,27"
"2";"No";"1474";"3,50"
"2";"En blanc";"259";",61"
"2";"Altres";"1390";"3,30"
"3";"Sí - Sí";"36648";"86,16"
"3";"Sí - No";"2846";"6,69"
"3";"Sí - En blanc";"412";",97"
"3";"No";"1227";"2,88"
"3";"En blanc";"219";",51"
"3";"Altres";"1183";"2,78"
"4";"Sí - Sí";"6854";"86,14"
"4";"Sí - No";"485";"6,10"
"4";"Sí - En blanc";"115";"1,45"
"4";"No";"203";"2,55"
"4";"En blanc";"78";",98"
"4";"Altres";"222";"2,79"
"5";"Sí - Sí";"1033";"79,40"
"5";"Sí - No";"150";"11,53"
"5";"Sí - En blanc";"12";",92"
"5";"No";"60";"4,61"
"5";"En blanc";"9";",69"
"5";"Altres";"37";"2,84"
"6";"Sí - Sí";"33365";"82,92"
"6";"Sí - No";"3077";"7,65"
"6";"Sí - En blanc";"443";"1,10"
"6";"No";"1705";"4,24"
"6";"En blanc";"188";",47"
"6";"Altres";"1460";"3,63"
"7";"Sí - Sí";"62593";"86,41"
"7";"Sí - No";"4561";"6,30"
"7";"Sí - En blanc";"704";",97"
"7";"No";"2457";"3,39"
"7";"En blanc";"465";",64"
"7";"Altres";"1657";"2,29"
"8";"Sí - Sí";"44779";"83,04"
"8";"Sí - No";"4074";"7,56"
"8";"Sí - En blanc";"584";"1,08"
"8";"No";"2477";"4,59"
"8";"En blanc";"309";",57"
"8";"Altres";"1700";"3,15"
"9";"Sí - Sí";"23435";"85,55"
"9";"Sí - No";"1638";"5,98"
"9";"Sí - En blanc";"311";"1,14"
"9";"No";"962";"3,51"
"9";"En blanc";"227";",83"
"9";"Altres";"821";"3,00"
"10";"Sí - Sí";"39586";"87,08"
"10";"Sí - No";"2469";"5,43"
"10";"Sí - En blanc";"484";"1,06"
"10";"No";"1326";"2,92"
"10";"En blanc";"249";",55"
"10";"Altres";"1344";"2,96"
"11";"Sí - Sí";"142611";"72,12"
"11";"Sí - No";"30329";"15,34"
"11";"Sí - En blanc";"1820";",92"
"11";"No";"14945";"7,56"
"11";"En blanc";"937";",47"
"11";"Altres";"7110";"3,60"
"12";"Sí - Sí";"17753";"80,25"
"12";"Sí - No";"1977";"8,94"
"12";"Sí - En blanc";"225";"1,02"
"12";"No";"1240";"5,61"
"12";"En blanc";"114";",52"
"12";"Altres";"812";"3,67"
"13";"Sí - Sí";"479315";"76,63"
"13";"Sí - No";"84171";"13,46"
"13";"Sí - En blanc";"5984";",96"
"13";"No";"32475";"5,19"
"13";"En blanc";"3469";",55"
"13";"Altres";"20060";"3,21"
"14";"Sí - Sí";"18706";"91,89"
"14";"Sí - No";"612";"3,01"
"14";"Sí - En blanc";"132";",65"
"14";"No";"287";"1,41"
"14";"En blanc";"149";",73"
"14";"Altres";"471";"2,31"
"15";"Sí - Sí";"5554";"85,45"
"15";"Sí - No";"389";"5,98"
"15";"Sí - En blanc";"76";"1,17"
"15";"No";"191";"2,94"
"15";"En blanc";"56";",86"
"15";"Altres";"234";"3,60"
"16";"Sí - Sí";"9047";"89,51"
"16";"Sí - No";"388";"3,84"
"16";"Sí - En blanc";"99";",98"
"16";"No";"197";"1,95"
"16";"En blanc";"70";",69"
"16";"Altres";"306";"3,03"
"17";"Sí - Sí";"32730";"80,12"
"17";"Sí - No";"4268";"10,45"
"17";"Sí - En blanc";"400";",98"
"17";"No";"1935";"4,74"
"17";"En blanc";"186";",46"
"17";"Altres";"1331";"3,26"
"18";"Sí - Sí";"8836";"89,80"
"18";"Sí - No";"396";"4,02"
"18";"Sí - En blanc";"152";"1,54"
"18";"No";"173";"1,76"
"18";"En blanc";"92";",93"
"18";"Altres";"191";"1,94"
"19";"Sí - Sí";"23652";"91,49"
"19";"Sí - No";"789";"3,05"
"19";"Sí - En blanc";"245";",95"
"19";"No";"377";"1,46"
"19";"En blanc";"173";",67"
"19";"Altres";"617";"2,39"
"20";"Sí - Sí";"59374";"88,27"
"20";"Sí - No";"3723";"5,54"
"20";"Sí - En blanc";"525";",78"
"20";"No";"1687";"2,51"
"20";"En blanc";"346";",51"
"20";"Altres";"1607";"2,39"
"21";"Sí - Sí";"123179";"83,49"
"21";"Sí - No";"13236";"8,97"
"21";"Sí - En blanc";"1290";",87"
"21";"No";"5013";"3,40"
"21";"En blanc";"724";",49"
"21";"Altres";"4088";"2,77"
"22";"Sí - Sí";"19256";"84,05"
"22";"Sí - No";"1445";"6,31"
"22";"Sí - En blanc";"320";"1,40"
"22";"No";"921";"4,02"
"22";"En blanc";"166";",72"
"22";"Altres";"801";"3,50"
"23";"Sí - Sí";"14511";"88,34"
"23";"Sí - No";"758";"4,61"
"23";"Sí - En blanc";"233";"1,42"
"23";"No";"398";"2,42"
"23";"En blanc";"169";"1,03"
"23";"Altres";"358";"2,18"
"24";"Sí - Sí";"68233";"91,93"
"24";"Sí - No";"2616";"3,52"
"24";"Sí - En blanc";"548";",74"
"24";"No";"1076";"1,45"
"24";"En blanc";"441";",59"
"24";"Altres";"1309";"1,76"
"25";"Sí - Sí";"4981";"88,74"
"25";"Sí - No";"272";"4,85"
"25";"Sí - En blanc";"55";",98"
"25";"No";"114";"2,03"
"25";"En blanc";"44";",78"
"25";"Altres";"147";"2,62"
"26";"Sí - Sí";"2738";"88,78"
"26";"Sí - No";"156";"5,06"
"26";"Sí - En blanc";"40";"1,30"
"26";"No";"52";"1,69"
"26";"En blanc";"24";",78"
"26";"Altres";"74";"2,40"
"27";"Sí - Sí";"13817";"88,67"
"27";"Sí - No";"699";"4,49"
"27";"Sí - En blanc";"182";"1,17"
"27";"No";"398";"2,55"
"27";"En blanc";"147";",94"
"27";"Altres";"340";"2,18"
"28";"Sí - Sí";"14187";"92,66"
"28";"Sí - No";"483";"3,15"
"28";"Sí - En blanc";"148";",97"
"28";"No";"177";"1,16"
"28";"En blanc";"85";",56"
"28";"Altres";"231";"1,51"
"29";"Sí - Sí";"4887";"91,07"
"29";"Sí - No";"177";"3,30"
